model_row,Old_index_1,smiles,rg,asphericity,eccentricity,num_chiral_centers,num_cis_trans,rg_mw_ratio,molecular_weight,rigid_bond_ratio,rigid_bond_method
711,826,COC(=O)/C=C/c1ccc(N(c2ccc(/C=C/C(=O)OC)cc2)c2ccc(/C=C/C(=O)OC)cc2)cc1,8.079829758477137,0.24433684247601803,0.888305565201895,0,3,0.016239329668306983,497.5470000000002,0.15384615384615385,colleague_axial_method
712,827,O=C(O)/C=C/c1ccc(N(c2ccc(/C=C/C(=O)O)cc2)c2ccc(/C=C/C(=O)O)cc2)cc1,6.506842609668218,0.26480266094460314,0.9111156841122114,0,3,0.014286121488032513,455.4660000000001,0.16666666666666666,colleague_axial_method
713,829,CCOc1ccc(N(c2ccc(/C=C/c3ccc(Nc4nc(Nc5ccc(/C=C/c6ccc(N(c7ccc(OCC)cc7)c7ccc(OCC)cc7)cc6)cc5)nc(Nc5ccc(/C=C/c6ccc(N(c7ccc(OCC)cc7)c7ccc(OCC)cc7)cc6)cc5)n4)cc3)cc2)c2ccc(OCC)cc2)cc1,5.939572449631481,0.22985784989653063,0.8611571569799479,0,3,0.004162932688545001,1426.7759999999996,0.675,rdkit_fallback_after_AssertionError
714,830,CC(C)CCCC(C)CCN1/C(=C/C2=C([O-])/C(=C\C3=[N+](CCC(C)CCCC(C)C)c4ccc(-c5ccc6c(c5)C(C)(C)/C(=C\C5=C([O-])/C(=C\C7=[N+](CCC(C)CCCC(C)C)c8ccccc8C7(C)C)C5=O)N6CCC(C)CCCC(C)C)cc4C3(C)C)C2=O)C(C)(C)c2ccccc21,12.21859790081898,0.6014330173813727,0.9875967003942433,4,4,0.009037130375061014,1352.0439999999983,0.30275229357798167,colleague_axial_method
715,831,CC(C)CCCC(C)CCN1/C(=C/C2=C([O-])/C(=C\C3=[N+](CCC(C)CCCC(C)C)c4ccc(C#Cc5ccc6c(c5)C(C)(C)/C(=C\C5=C([O-])/C(=C\C7=[N+](CCC(C)CCCC(C)C)c8ccccc8C7(C)C)C5=O)N6CCC(C)CCCC(C)C)cc4C3(C)C)C2=O)C(C)(C)c2ccccc21,10.338389461017654,0.633278476962336,0.9898334476436275,4,4,0.007513004071765209,1376.0659999999987,0.3153153153153153,colleague_axial_method
716,832,CC(C)CCCC(C)CCN1/C(=C/C2=C([O-])/C(=C\C3=[N+](CCC(C)CCCC(C)C)c4ccc(C#CC#Cc5ccc6c(c5)C(C)(C)/C(=C\C5=C([O-])/C(=C\C7=[N+](CCC(C)CCCC(C)C)c8ccccc8C7(C)C)C5=O)N6CCC(C)CCCC(C)C)cc4C3(C)C)C2=O)C(C)(C)c2ccccc21,11.428851271474377,0.7543396055333854,0.9959269606939412,4,4,0.008162952094064365,1400.0879999999986,0.49557522123893805,rdkit_fallback_after_AssertionError
717,833,CC(C)CCCC(C)CCN1/C(=C/C2=C([O-])/C(=C\C3=[N+](CCC(C)CCCC(C)C)c4ccc(-c5ccc(-c6ccc7c(c6)C(C)(C)/C(=C\C6=C([O-])/C(=C\C8=[N+](CCC(C)CCCC(C)C)c9ccccc9C8(C)C)C6=O)N7CCC(C)CCCC(C)C)cc5)cc4C3(C)C)C2=O)C(C)(C)c2ccccc21,11.335162651089103,0.6033749499779013,0.9877459347451173,4,4,0.007936999717877575,1428.1419999999985,0.5172413793103449,rdkit_fallback_after_AssertionError
718,834,CC(C)CCCC(C)CCN1/C(=C/C2=C([O-])/C(=C\C3=[N+](CCC(C)CCCC(C)C)c4ccc(-c5ccc(C#Cc6ccc(-c7ccc8c(c7)C(C)(C)/C(=C\C7=C([O-])/C(=C\C9=[N+](CCC(C)CCCC(C)C)c%10ccccc%10C9(C)C)C7=O)N8CCC(C)CCCC(C)C)cc6)cc5)cc4C3(C)C)C2=O)C(C)(C)c2ccccc21,11.576538226798547,0.6637998877304907,0.9916647064701362,4,4,0.0075749696235321955,1528.2619999999984,0.536,rdkit_fallback_after_AssertionError
719,835,CC(C)CCCC(C)CCN1/C(=C/C2=C([O-])/C(=C\C3=[N+](CCC(C)CCCC(C)C)c4cc5c(cc4C3(C)C)C(C)(C)c3cc4c(cc3C5(C)C)C(C)(C)C(/C=C3/C(=O)C(/C=C5/N(CCC(C)CCCC(C)C)c6ccccc6C5(C)C)=C3[O-])=[N+]4CCC(C)CCCC(C)C)C2=O)C(C)(C)c2ccccc21,14.520888045848341,0.8258899951194459,0.9980762933613985,4,4,0.010124800790584481,1434.1899999999985,0.5,rdkit_fallback_after_AssertionError
720,836,CC(C)(C)c1cc2c3cc(C(C)(C)C)cc4c5cc(C(C)(C)C)cc6c5c5c(c34)c3c2c(c1)c1cc(C(C)(C)C)cc2c4cc(C(C)(C)C)cc7c4c(c3c12)c5c1c6c2c3cccc4c(=O)c5cccc6c5c5c(c43)c3c2c(c2cc(C(C)(C)C)cc4c8cc(C(C)(C)C)cc9c8c(c3c42)c5c2c6c3c4cc(C(C)(C)C)cc5c6cc(C(C)(C)C)cc8c%10cc(C(C)(C)C)cc%11c%12cc(C(C)(C)C)cc%13c%14cc(C(C)(C)C)cc%15c%14c%14c(c%12%13)c(c%10%11)c(c86)c(c54)c%14c3c%15c92)c71,9.936607666055407,0.6947406107282905,0.9932597935556405,0,0,0.004702838031808205,2112.895999999995,0.005,colleague_axial_method
