样本索引,基线值,Conju-Max-Distance_SHAP,Wavelength_SHAP,ET(30)_SHAP,PEOE-Charge_SHAP,Atomic-LogP_SHAP,Atomic-MR_SHAP,rg_SHAP,SHAP总和,重建预测值,模型预测值,误差
76,5.997935,0.2132894,-0.13433222,-0.15664881,-0.35726115,-0.013917348,0.01966968,-0.3474995,-0.77669996,5.221235,5.221227,7.6293945e-06
77,5.997935,0.20444338,-0.17546698,-0.106341965,-0.32567814,0.052664775,0.042515278,0.035932317,-0.27193135,5.7260036,5.7259994,4.2915344e-06
78,5.997935,0.18103305,-0.21616334,-0.06401075,-0.035913806,0.10249216,-0.08958178,0.042747393,-0.07939707,5.9185376,5.9185357,1.9073486e-06
79,5.997935,0.21557665,-0.19566295,-0.11904785,0.024514088,0.105336696,-0.098098345,0.06769337,0.0003116578,5.9982467,5.9982424,4.2915344e-06
80,5.997935,-0.32516456,-0.1714855,-0.24519372,0.04568724,0.14976746,0.111209124,-0.32303065,-0.75821054,5.239724,5.239729,4.7683716e-06
81,5.997935,-0.42727777,-0.045324564,-0.014494643,-0.30890885,-0.21950287,0.062086564,-0.30299556,-1.2564176,4.741517,4.7415214,4.2915344e-06
82,5.997935,-0.2807996,-0.2896957,-0.34833604,0.05005791,0.11193009,0.06556744,0.058211405,-0.63306457,5.36487,5.3648734,3.33786e-06
83,5.997935,-0.37913984,-0.27700874,-0.33462277,0.14458433,0.112202,-0.088629454,-0.1345488,-0.9571632,5.0407715,5.0407734,1.9073486e-06
84,5.997935,-0.06966813,-0.15534714,-0.3055292,-0.34798527,-0.22542472,0.043540183,-0.32077256,-1.3811867,4.616748,4.6167455,2.3841858e-06
85,5.997935,-0.3917083,-0.2156384,-0.17345113,-0.5003668,-0.37267053,-0.021757055,-0.47689974,-2.152492,3.8454428,3.8454409,1.9073486e-06
86,5.997935,-0.23974267,0.030625647,-0.20935193,-0.31654945,-0.2783719,0.035223104,-0.28604895,-1.2642162,4.733719,4.7337155,3.33786e-06
87,5.997935,-0.29497635,-0.16877878,-0.16520196,-0.10953108,-0.4234147,-0.2624974,-0.24852453,-1.6729249,4.32501,4.3250117,1.9073486e-06
88,5.997935,-0.31607786,-0.17166157,-0.16489442,-0.2992715,-0.35196057,0.04243762,-0.19407228,-1.4555005,4.542434,4.5424333,9.536743e-07
89,5.997935,-0.015645618,-0.06377631,-0.062510654,-0.14057599,0.067160584,-0.15445766,-0.21468267,-0.5844883,5.4134464,5.4134426,3.8146973e-06
90,5.997935,0.2609709,-0.115802675,-0.116035335,-0.14170897,0.103593335,-0.11310545,0.14907129,0.026983082,6.024918,6.024917,9.536743e-07
91,5.997935,0.013040823,-0.013782458,-0.021757053,-0.12027966,0.13971284,0.037922107,0.13714962,0.17200622,6.169941,6.16994,9.536743e-07
92,5.997935,0.3231388,-0.05457039,-0.008408191,-0.07374162,0.20083915,0.14459574,0.31338736,0.84524083,6.843176,6.8431764,4.7683716e-07
93,5.997935,0.41808245,-0.21877846,0.008342474,-0.096584104,0.16132861,-0.0070339264,0.34285632,0.60821337,6.6061482,6.6061482,0.0
94,5.997935,0.69322383,-0.16966073,-0.016562216,-0.15392269,0.15956424,0.004808708,0.09257614,0.6100273,6.607962,6.6079626,4.7683716e-07
95,5.997935,0.88507295,-0.0711598,-0.034266748,-0.12338882,0.11461589,0.031425886,-0.079186894,0.7231124,6.7210474,6.721051,3.8146973e-06
96,5.997935,0.8270345,-0.12643291,-0.0483948,0.11541887,0.08245729,-0.0027722174,-0.0946593,0.75265145,6.7505865,6.7505913,4.7683716e-06
97,5.997935,-0.74134475,0.37928805,0.12935717,0.28467065,-0.114971764,0.48823422,0.104458235,0.5296918,6.5276265,6.527631,4.2915344e-06
98,5.997935,1.1782156,0.92095155,0.24805321,0.14634404,-0.034764897,0.21814775,0.33130142,3.0082486,9.006184,9.0061865,2.861023e-06
99,5.997935,1.3605427,0.9375318,0.2538257,0.13512583,0.04962427,0.24152799,0.3104981,3.2886763,9.286612,9.2866125,9.536743e-07
100,5.997935,1.3086542,1.0153387,0.26205167,0.141995,-0.03541036,0.34056762,0.7783964,3.8115928,9.809527,9.809527,0.0
101,5.997935,1.0252397,0.4391516,0.122973226,0.30178183,-0.11509284,0.04743294,0.24344139,2.0649278,8.062862,8.062856,6.67572e-06
102,5.997935,0.09728796,-0.17695108,0.012850665,0.22117202,0.2542372,0.03015526,0.34476617,0.7835182,6.781453,6.7814484,4.7683716e-06
103,5.997935,0.52563596,-0.070578694,0.092105225,0.28332105,0.27707517,0.11542535,0.22780338,1.4507874,7.4487224,7.4487243,1.9073486e-06
104,5.997935,0.13466935,0.25106138,0.056180242,0.2575001,0.2699581,0.06943666,0.30193824,1.340744,7.338679,7.338677,1.9073486e-06
105,5.997935,0.59154326,0.39910644,0.08275411,0.3027053,0.29565734,0.1423727,0.18482572,1.998965,7.9968996,7.9969053,5.722046e-06
106,5.997935,0.1401185,0.3170177,0.03925477,0.19427839,0.25771895,0.40941542,0.14373489,1.5015388,7.4994736,7.4994745,9.536743e-07
107,5.997935,0.011487209,-0.16971381,0.05162132,0.19807166,0.23770492,0.33379316,0.076949716,0.7399142,6.737849,6.737845,4.2915344e-06
108,5.997935,0.22690783,0.2905648,-0.013930396,0.08707038,0.16883542,0.01904414,-0.075945385,0.70254683,6.7004814,6.7004814,0.0
109,5.997935,0.04962514,-0.13278317,0.030259104,0.31751886,0.28240916,0.11648221,0.09659139,0.76010275,6.7580376,6.758036,1.4305115e-06
