model_row,Old_index_1,smiles,canonical_smiles,doi,compoundId,Solvent,selected_point_index,wavelength,TPACS,values_ln,elements
20,22,O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1ccccc1,CAN:O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1ccccc1,10.1039/c6tc00382f,C-0,DMF,3,900.0,187.0,5.231108617,"C,H,N,O,S"
21,23,O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1ccccn1,CAN:O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1ccccn1,10.1039/c6tc00382f,C-1,DMF,3,960.0,156.0,5.049856007,"C,H,N,O,S"
22,24,O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1cccnc1,CAN:O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1cccnc1,10.1039/c6tc00382f,C-2,DMF,4,960.0,215.0,5.370638028,"C,H,N,O,S"
23,25,CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3ccccc3)s2)cc1,CAN:CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3ccccc3)s2)cc1,10.1039/c6tc00382f,OC-0,THF,2,890.0,422.0,6.045005314,"C,H,N,O,S"
24,26,CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3ccccn3)s2)cc1,CAN:CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3ccccn3)s2)cc1,10.1039/c6tc00382f,OC-1,Benzene,3,960.0,820.0,6.70930434,"C,H,N,O,S"
25,27,CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3cccnc3)s2)cc1,CAN:CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3cccnc3)s2)cc1,10.1039/c6tc00382f,OC-2,Benzene,4,960.0,545.0,6.300785795,"C,H,N,O,S"
26,28,CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(/C=C/c2c3ccccc3c(C=C3C(=O)CC(C)(C)CC3=O)c3ccccc23)cc1,CAN:CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(/C=C/c2c3ccccc3c(C=C3C(=O)CC(C)(C)CC3=O)c3ccccc23)cc1,10.1039/c5tc03334a,6,DCM,0,725.0,700.0,6.551080335,"C,H,N,O"
27,29,CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(/C=C/c2c3ccccc3c(C=C3C(=O)c4ccccc4C3=O)c3ccccc23)cc1,CAN:CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(/C=C/c2c3ccccc3c(C=C3C(=O)c4ccccc4C3=O)c3ccccc23)cc1,10.1039/c5tc03334a,7,DCM,0,725.0,970.0,6.877296071,"C,H,N,O"
28,30,CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C=C3C(=O)CC(C)(C)CC3=O)c3ccccc23)cc1,CAN:CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C=C3C(=O)CC(C)(C)CC3=O)c3ccccc23)cc1,10.1039/c5tc03334a,10,DCM,0,725.0,1000.0,6.907755279,"C,H,N,O"
29,31,CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C=C3C(=O)c4ccccc4C3=O)c3ccccc23)cc1,CAN:CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C=C3C(=O)c4ccccc4C3=O)c3ccccc23)cc1,10.1039/c5tc03334a,11,DCM,1,725.0,2500.0,7.824046011,"C,H,N,O"
